Date,Headline,Summary,Sentiment Score,Stock Name,Close,MA_7,MA_14,MA_30,Volatility_7,Sentiment_MA_7
2024-12-30,"Deere shareholders reject anti-DEI proposal, as Trump pressures Apple to abandon diversity plans","Shareholders of Deere & Co. voted overwhelmingly to reject a proposal seeking to curb the farming-machinery maker’s diversity, equity and inclusion plans — the latest sign of investor resistance to conservative efforts to end diversity practices.",-0.8779,AAPL,251.9230194091797,251.9230194091797,251.9230194091797,251.9230194091797,,-0.8779
2024-12-30,PayPal has some big new growth targets. Can it hit its marks?,One analyst says the new growth goals seem achievable. Another worries competition from Apple Pay might get in the way.,0.5106,AAPL,251.9230194091797,251.9230194091797,251.9230194091797,251.9230194091797,0.0,-0.18364999999999998
2024-12-31,"Deere shareholders reject anti-DEI proposal, as Trump pressures Apple to abandon diversity plans","Shareholders of Deere & Co. voted overwhelmingly to reject a proposal seeking to curb the farming-machinery maker’s diversity, equity and inclusion plans — the latest sign of investor resistance to conservative efforts to end diversity practices.",-0.8779,AAPL,250.1449737548828,251.33033752441406,251.33033752441406,251.33033752441406,1.026555137139745,-0.4150666666666667
2024-12-31,PayPal has some big new growth targets. Can it hit its marks?,One analyst says the new growth goals seem achievable. Another worries competition from Apple Pay might get in the way.,0.5106,AAPL,250.1449737548828,251.03399658203125,251.03399658203125,251.03399658203125,1.026555137139745,-0.18364999999999998
2025-01-02,"Deere shareholders reject anti-DEI proposal, as Trump pressures Apple to abandon diversity plans","Shareholders of Deere & Co. voted overwhelmingly to reject a proposal seeking to curb the farming-machinery maker’s diversity, equity and inclusion plans — the latest sign of investor resistance to conservative efforts to end diversity practices.",-0.8779,AAPL,243.5821990966797,249.54363708496095,249.54363708496095,249.54363708496095,3.449089552291937,-0.32249999999999995
2025-01-02,PayPal has some big new growth targets. Can it hit its marks?,One analyst says the new growth goals seem achievable. Another worries competition from Apple Pay might get in the way.,0.5106,AAPL,243.5821990966797,248.55006408691406,248.55006408691406,248.55006408691406,3.92938911364994,-0.18364999999999998
2025-01-03,"Deere shareholders reject anti-DEI proposal, as Trump pressures Apple to abandon diversity plans","Shareholders of Deere & Co. voted overwhelmingly to reject a proposal seeking to curb the farming-machinery maker’s diversity, equity and inclusion plans — the latest sign of investor resistance to conservative efforts to end diversity practices.",-0.8779,AAPL,243.0927276611328,247.77044459751673,247.77044459751673,247.77044459751673,4.137800725401018,-0.28282857142857143
2025-01-03,PayPal has some big new growth targets. Can it hit its marks?,One analyst says the new growth goals seem achievable. Another worries competition from Apple Pay might get in the way.,0.5106,AAPL,243.0927276611328,246.50897434779577,247.18572998046875,247.18572998046875,4.00471340823811,-0.08447142857142856
2025-01-06,"Deere shareholders reject anti-DEI proposal, as Trump pressures Apple to abandon diversity plans","Shareholders of Deere & Co. voted overwhelmingly to reject a proposal seeking to curb the farming-machinery maker’s diversity, equity and inclusion plans — the latest sign of investor resistance to conservative efforts to end diversity practices.",-0.8779,AAPL,244.73092651367188,245.48153250558036,246.91297403971353,246.91297403971353,3.2322976836022916,-0.28282857142857143
2025-01-06,PayPal has some big new growth targets. Can it hit its marks?,One analyst says the new growth goals seem achievable. Another worries competition from Apple Pay might get in the way.,0.5106,AAPL,244.73092651367188,244.70809718540735,246.69476928710938,246.69476928710938,2.4938190124278523,-0.08447142857142856
2025-01-07,"Deere shareholders reject anti-DEI proposal, as Trump pressures Apple to abandon diversity plans","Shareholders of Deere & Co. voted overwhelmingly to reject a proposal seeking to curb the farming-machinery maker’s diversity, equity and inclusion plans — the latest sign of investor resistance to conservative efforts to end diversity practices.",-0.8779,AAPL,241.94400024414065,243.53652954101562,246.26288119229403,246.26288119229403,0.9821243515792091,-0.28282857142857143
2025-01-07,PayPal has some big new growth targets. Can it hit its marks?,One analyst says the new growth goals seem achievable. Another worries competition from Apple Pay might get in the way.,0.5106,AAPL,241.94400024414065,243.30250113351005,245.9029744466146,245.9029744466146,1.1502237634653705,-0.08447142857142856
